user_id,user_name,company_name,office_name,group_name,guaranteed_team,team_daily_priority,individual_priority,has_assigned_space,requests_3mo,bookings_3mo,rejected_3mo,unused_bookings_3mo,nudge_offences_3mo,approval_rate_pct,rejection_rate_pct,used_rate_pct,company_id,office_id,Underserved Tier
user-00001,User 00001,Company 157,Office 098,Group 042,FALSE,"["""", """", """", """", """", """", """"]",,No,3,3,0,3,1,1,5,4,,0157,Z
user-00002,User 00002,Company 162,Office 083,Group 034,FALSE,"["""", ""6"", ""6"", ""6"", ""6"", ""6"", """"]",6,No,46,35,11,1,0,4,29,3,,0162,A
user-00003,User 00003,Company 148,Office 093,Group 027,FALSE,"["""", """", """", """", """", """", """"]",,No,35,20,15,1,0,16,20,0,,0148,B
user-00004,User 00004,Company 080,Office 016,Group 026,FALSE,"["""", """", """", """", """", """", """"]",,No,41,11,30,0,0,1,26,2,,0080,A
user-00005,User 00005,Company 153,Office 086,Group 040,FALSE,"["""", """", """", """", """", """", """"]",,No,23,14,9,3,0,4,24,1,,0153,B
user-00006,User 00006,Company 047,Office 048,Group 068,FALSE,"["""", """", """", """", """", """", """"]",,No,52,28,24,3,0,8,17,0,,0047,A
user-00007,User 00007,Company 152,Office 094,Group 070,FALSE,"["""", """", """", """", """", """", """"]",,No,25,12,13,2,1,11,17,1,,0152,B
user-00008,User 00008,Company 109,Office 003,Group 007,FALSE,"["""", """", """", """", """", """", """"]",,No,40,10,30,2,0,11,23,3,,0109,B
user-00009,User 00009,Company 105,Office 024,Group 023,TRUE,"["""", ""4"", ""4"", ""4"", ""4"", ""4"", """"]",4,No,43,29,14,1,0,3,24,0,,0105,A
user-00010,User 00010,Company 149,Office 060,Group 026,FALSE,"["""", """", """", """", """", """", """"]",,No,38,28,10,4,0,24,14,2,,0149,B
user-00011,User 00011,Company 004,Office 027,Group 015,FALSE,"["""", """", """", """", """", """", """"]",,No,37,24,13,2,0,6,18,1,,0004,B
user-00012,User 00012,Company 104,Office 080,Group 078,FALSE,"["""", """", """", """", """", """", """"]",,No,49,15,34,2,0,0,23,2,,0104,A
user-00013,User 00013,Company 131,Office 043,Group 034,FALSE,"["""", """", """", """", """", """", """"]",,No,47,18,29,1,0,7,23,3,,0131,A
user-00014,User 00014,Company 055,Office 114,Group 047,FALSE,"["""", """", """", """", """", """", """"]",,No,48,31,17,4,0,7,10,4,,0055,P
user-00015,User 00015,Company 166,Office 010,Group 021,FALSE,"["""", """", """", """", """", """", """"]",,No,2,0,2,0,0,2,10,0,,0166,Z
user-00016,User 00016,Company 051,Office 017,Group 067,FALSE,"["""", """", """", """", """", """", """"]",,No,53,33,20,5,0,4,16,2,,0051,A
user-00017,User 00017,Company 107,Office 084,Group 065,FALSE,"["""", """", """", """", """", """", """"]",,No,47,25,22,1,0,4,30,4,,0107,A
user-00018,User 00018,Company 014,Office 017,Group 085,TRUE,"["""", """", """", """", """", """", """"]",,No,29,24,5,0,0,3,23,3,,0014,B
user-00019,User 00019,Company 023,Office 040,Group 052,TRUE,"["""", """", """", """", """", """", """"]",,No,30,19,11,2,0,13,14,2,,0023,B
user-00020,User 00020,Company 125,Office 056,Group 009,FALSE,"["""", """", """", """", """", """", """"]",,No,0,0,0,0,0,0,5,0,,0125,Z
user-00021,User 00021,Company 166,Office 103,Group 031,FALSE,"["""", ""2"", ""2"", ""2"", ""2"", ""2"", """"]",2,No,34,28,6,2,0,18,22,2,,0166,B
user-00022,User 00022,Company 029,Office 098,Group 037,FALSE,"["""", """", """", """", """", """", """"]",,No,3,3,0,0,0,6,14,1,,0029,Z
user-00023,User 00023,Company 010,Office 046,Group 052,FALSE,"["""", """", """", """", """", """", """"]",,No,53,31,22,2,0,0,18,2,,0010,A
user-00024,User 00024,Company 101,Office 006,Group 018,FALSE,"["""", ""5"", ""5"", ""5"", ""5"", ""5"", """"]",5,No,43,11,32,4,0,7,14,3,,0101,A
user-00025,User 00025,Company 077,Office 011,Group 018,FALSE,"["""", """", """", """", """", """", """"]",,Yes,21,20,1,0,0,5,22,0,,0077,C
user-00026,User 00026,Company 094,Office 115,Group 026,FALSE,"["""", ""2"", ""2"", ""2"", ""2"", ""2"", """"]",2,No,30,30,0,3,0,2,10,2,,0094,B
user-00027,User 00027,Company 155,Office 097,Group 015,FALSE,"["""", """", """", """", """", """", """"]",,No,53,44,9,1,0,8,19,1,,0155,A
user-00028,User 00028,Company 117,Office 002,Group 089,TRUE,"["""", """", """", """", """", """", """"]",,No,19,17,2,2,0,6,23,0,,0117,C
user-00029,User 00029,Company 159,Office 059,Group 012,FALSE,"["""", """", """", """", """", """", """"]",,No,47,38,9,3,1,8,16,5,,0159,A
user-00030,User 00030,Company 075,Office 025,Group 086,TRUE,"["""", ""3"", ""3"", ""3"", ""3"", ""3"", """"]",3,No,44,26,18,5,0,7,13,1,,0075,M
user-00031,User 00031,Company 129,Office 003,Group 090,TRUE,"["""", """", """", """", """", """", """"]",,No,28,16,12,7,0,14,15,0,,0129,B
user-00032,User 00032,Company 149,Office 017,Group 055,FALSE,"["""", """", """", """", """", """", """"]",,No,13,11,2,2,0,13,8,0,,0149,C
user-00033,User 00033,Company 139,Office 019,Group 020,FALSE,"["""", """", """", """", """", """", """"]",,No,49,8,41,3,0,13,21,3,,0139,A
